group,name,log2FC,FDR
EOAD,MOG,-0.053908968071279,0.703376808950827
EOAD,STC2,-0.179340549453662,0.383728607530491
EOAD,CHGA,-0.272670655964841,0.310433225587816
EOAD,HYOU1,-0.108968028580414,0.333020173631092
EOAD,IGHG2,0.514336276618131,0.110280378255723
EOAD,ITIH5,-0.0870888106282752,0.426481588406176
EOAD,GPI,0.449000757758334,0.250396553580068
EOAD,APCS,0.571798768924794,0.285498544130573
EOAD,MST1,0.544790965673583,0.269973336530036
EOAD,GPR158,-0.127847435649845,0.543432442628694
EOAD,HP,0.734812482750591,0.533489685663576
EOAD,COL18A1,-0.108722831127004,0.645422489898392
EOAD,RTN4R,-0.237301154960878,0.221733095065442
EOAD,GRIA4,-0.241866631850466,0.223045203640253
EOAD,MEGF8,-0.164128785128671,0.351598800392653
EOAD,SERPIND1,0.115716206922498,0.657525766797822
EOAD,COCH,0.0964228268474123,0.703376808950827
EOAD,CBLN1,-0.154102243108068,0.439089440775495
EOAD,CD59,-0.0856909618233219,0.422609549586173
EOAD,KRT10,-1.05542893959087,0.368082418651957
EOAD,ATP6AP1,-0.234609287997596,0.0799932359889286
EOAD,SERPINI1,-0.101731117919355,0.415171639338706
EOAD,TGFBR3,0.0206237429261291,0.800236004896386
EOAD,PTPRG,-0.195750443324464,0.037158590370607
EOAD,CLSTN2,-0.11213318135081,0.125543837998659
EOAD,ART3,-0.112643107317673,0.647348127922446
EOAD,KRT1,-0.736239449174745,0.411110585359464
EOAD,L1CAM,-0.0155276753036677,0.759753012660837
EOAD,NRXN2,-0.221793554033303,0.0379294294532987
EOAD,B2M,0.0220629154707535,0.860951846549683
EOAD,C3,0.229143165033207,0.289972168237634
EOAD,APLP1,-0.180693962252031,0.198321867254426
EOAD,LUM,0.225374573542849,0.228953870529621
EOAD,BCAN,-0.107248000384367,0.535886110085807
EOAD,CARTPT,-0.314549128373309,0.198321867254426
EOAD,B3GNT2,-0.0616869244842562,0.659428265613752
EOAD,NBL1,-0.156307711991253,0.23096129914898
EOAD,PKM,0.306252448961374,0.0192288530205769
EOAD,RBP4,0.369134912780419,0.353811938097051
EOAD,LRG1,0.402005284444581,0.246364719187265
EOAD,SOD1,0.114633859984069,0.279539962081503
EOAD,AGRN,-0.0351333163947816,0.631837497615648
EOAD,SPOCK3,0.0142146363521096,0.84856131407396
EOAD,COL1A1,0.0963029350462197,0.322813916821253
EOAD,COL6A3,0.0676569357801213,0.631282520536841
EOAD,DDR1,-0.0401319483891642,0.856049103735787
EOAD,PTPRD,-0.121697814254459,0.131865581356783
EOAD,GASK1B,-0.164653040134089,0.285498544130573
EOAD,TPP1,-0.0600948955924938,0.782582758180703
EOAD,VSTM2A,-0.0797751637605426,0.731985489695646
EOAD,CLIC4,0.226276327754641,0.351722657742543
EOAD,AEBP1,0.0211246676194747,0.830403049878207
EOAD,FGA,0.20806731759285,0.635649749017094
EOAD,HBB,2.52822327913778,0.206799083451755
EOAD,SCG5,-0.208544358134004,0.235588904943175
EOAD,ZP2,-0.248947636404038,0.350485053580718
EOAD,SLITRK1,-0.252869986598588,0.23096129914898
EOAD,CAMK2A,-0.129108044340328,0.734430468006213
EOAD,CTSL,-0.0317600647814693,0.848182285924621
EOAD,KLK6,0.0110527208492144,0.913426564562214
EOAD,PCOLCE,-0.0463801828240271,0.54080975138165
EOAD,C16orf89,-0.160414853749317,0.372560211151682
